Year,Nike,Adidas,Puma,Under Armour,Lululemon,Asics,Nike_margin,Adidas_margin,Puma_margin,Under Armour_margin,Lululemon_margin,Nike_share,Adidas_share,Puma_share,Under Armour_share,Lululemon_share,Asics_share
2006,13.44,12.663504,3.4673879999999997,0.43068900000000004,0.14888483400000002,,15.7,7.6,11.9,13.3,15.7,,,,,,
2007,14.68,14.122330000000002,3.7568140000000003,0.606561,0.274713328,,14.5,7.7,12.3,14.2,18.8,,,,,,
2008,16.74,15.90408,4.079102,0.725244,0.35348821199999997,,14.5,8.5,11.8,10.6,17.2,,,,,,
2009,16.65,14.46453,3.6370349999999996,0.8564109999999999,0.452898,,14.7,4.1,9.8,10.0,19.2,,,,,,
2010,16.47,15.899939000000002,3.792646,1.0639269999999998,0.711704,,15.0,5.9,10.3,10.6,25.6,,,,,,
2011,18.08,18.556092,4.416127,1.4726839999999999,1.000839,,15.6,6.0,9.1,11.0,28.7,,,,,,
2012,20.97,19.134192000000002,4.204893,1.834921,1.370358,,14.6,6.7,8.1,11.4,27.5,,,,,,
2013,22.75,18.85902,3.9710190000000005,2.332051,1.591188,,14.2,7.7,5.1,11.5,23.5,,,,,,
2014,24.99,19.320541000000002,3.9492090000000006,3.08437,1.797213,4.46441945227814,14.7,5.7,3.3,11.5,20.6,43.4,33.5,6.9,5.4,3.1,7.7
2015,27.51,18.774432,3.7615439999999998,3.9633130000000003,2.0605230000000003,3.540092886491667,15.2,8.3,1.6,10.4,17.3,46.2,31.5,6.3,6.6,3.5,5.9
2016,29.1,20.461056,4.019136,4.825335,2.344392,3.673405752012347,15.5,7.0,3.1,9.0,18.3,45.2,31.8,6.2,7.5,3.6,5.7
2017,30.57,23.980722,4.6786140000000005,4.976553,2.6492,3.568734697738006,15.5,9.7,5.5,3.0,18.7,43.4,34.1,6.6,7.1,3.8,5.1
2018,31.35,25.902864,5.494905,5.193185000000001,3.2883,3.5029270306796003,13.8,10.5,6.7,3.1,21.4,41.9,34.7,7.4,6.9,4.4,4.7
2019,39.1,26.41784,6.1567,5.248343,3.979,3.4674558650010368,12.3,10.9,7.5,4.1,22.4,46.3,31.3,7.3,6.2,4.7,4.1
2020,37.4,22.591800000000003,5.9332,4.472569,4.401,3.0802589059806262,7.7,3.8,3.7,-0.3,18.5,48.0,29.0,7.6,5.7,5.7,4.0
2021,44.5,25.488,8.035799999999998,5.7,5.85,3.6791456801389932,15.0,9.1,7.8,9.6,16.8,47.7,27.3,8.6,6.1,6.3,3.9
2022,46.7,23.701499999999996,8.953899999999999,5.6,6.3,3.686292408337137,14.2,2.5,7.4,3.9,22.2,49.2,25.0,9.4,5.9,6.6,3.9
2023,51.2,23.14838,9.302620000000001,5.7,8.1,4.06049822064057,12.1,1.2,7.0,4.0,21.0,50.4,22.8,9.2,5.6,8.0,4.0
2024,51.4,25.6434,9.521600000000001,5.2,9.6,4.479730621946389,13.0,5.3,6.5,3.3,22.9,48.6,24.2,9.0,4.9,9.1,4.2
2025,46.3,28.665,10.062,5.1,10.6,5.000676589986468,8.4,7.0,4.4,9.6,23.6,43.8,27.1,9.5,4.8,10.0,4.7
