Year,Powered & Liquid Beverages share,Water share,Milk Products share,Nutrition & Healthcare share,Prepared Dishes & Cooking Aids share,Confectionary share,Petcare share,Powered & Liquid Beverages profit share,Water profit share,Milk Products profit share,Nutrition & Healthcare profit share,Prepared Dishes & Cooking Aids profit share,Confectionary profit share,Petcare profit share
2007,0.17794538724771283,0.10384803408059222,0.20619955503676435,0.0841838516257121,0.1846098590284637,0.12219528498598266,0.12101802799477218,0.3179218303145853,0.06768350810295519,0.18223705115983477,0.1151890689545599,0.19176993962503971,0.1132824912615189,0.14903082300603748
2008,0.18443007307256457,0.09373412527841819,0.20081278574498848,0.10140283693485991,0.17698604978312688,0.12084326521042554,0.12179086397561643,0.31870563992978707,0.04388308021063878,0.17988246966343585,0.13722048385865832,0.1756849576432878,0.12355949019308556,0.14973670151873616
2009,0.1931000621254935,0.09084350387783323,0.1959658510190585,0.09985170043487845,0.17239824445379667,0.11819876149822642,0.12964187659071325,0.31988076129328136,0.04838339830314148,0.1792402354200107,0.13253840862187571,0.17014446227929375,0.12221967438660858,0.16112512420698616
2010,0.206061019725616,0.08207630878438332,0.19568630127636338,0.11487270493481673,0.16948786203444588,0.11074329397310764,0.12107250927126703,0.32682312175145695,0.04040006300204756,0.18971491573476137,0.15010237832729564,0.1483698220192156,0.11363994329815719,0.1713655693810049
2011,0.21764185457067023,0.07802300279763755,0.19614547715262667,0.11649649697520384,0.16657899141579588,0.1083785657923053,0.1167356112957605,0.32931887063327486,0.04147391928537247,0.17953421598341043,0.14515871749880363,0.16079119476790557,0.12155048652097623,0.16015313447120752
2012,0.22567737764848808,0.07519978600327683,0.19331037326824266,0.1085253173727444,0.16043066840539005,0.11637186388916754,0.12048461341269046,0.32710280373831774,0.046802560894841416,0.19898447273530062,0.1308411214953271,0.14931194348370005,0.12988446537640738,0.1577746706895283
2013,0.2223898088066147,0.07349334837995616,0.18833959070292325,0.12847501030838343,0.15376852796284643,0.11158011241563402,0.121953601423642,0.3309603474051399,0.04826653377945469,0.18737096889015448,0.15861037944044992,0.13355164803872713,0.1160390118886595,0.1539830568804727
2014,0.22160852290093,0.07504475396236301,0.18275990044972273,0.14240492511898004,0.14777540060254116,0.10663450203030171,0.12377199493516133,0.3341893145017476,0.050645552464512446,0.19266709465725088,0.1942363934660104,0.12896782937442042,0.09586989086240102,0.16021114202154219
2015,0.2167595877682041,0.08010362110716901,0.16485892887312045,0.1673030354226502,0.14167933772596722,0.0999042631075069,0.1293912259953821,0.3063817067702884,0.0594828874607682,0.1846510237632641,0.21738155731579734,0.1288297713346286,0.0931101479599462,0.17829920789119713
2016,0.2212162872056243,0.0828666912561893,0.16017838580961002,0.16808056421777376,0.1357788731292403,0.09700566676726016,0.13487353161430216,0.30578389987410204,0.06709620084425683,0.19617862697178404,0.20550988669184625,0.1361178997259868,0.08827667925646153,0.18773605865363252
2017,0.22728335802029156,0.08302613847713022,0.14975888452072034,0.16991680680691829,0.1331647937989331,0.09806105288948781,0.1387889654865187,0.3204946733219102,0.06742158980853759,0.17328466065708112,0.1806600610891753,0.1440065559114952,0.0921552559040453,0.19563435893615436
2018,0.23644178085937073,0.08102669539255679,0.1445444503986264,0.17703605682476842,0.1319458874222159,0.08883517973731121,0.14016994936515054,0.32821510957324107,0.04346885813148789,0.17387543252595156,0.20371972318339102,0.14734717416378315,0.09306516724336794,0.18540945790080737
2019,0.25085342667012356,0.0798440065681445,0.14333246910379396,0.1619350099386397,0.13166537032235762,0.08521303258145363,0.147156684815487,0.3437911364633611,0.04877870410998976,0.12271464092438204,0.22612256837794353,0.13580517770952172,0.09075617961094047,0.20045341524060262
2020,0.2638748918108201,0.07612961360160297,0.1305028277391129,0.14417319753862207,0.1366207035557189,0.08269803066051717,0.16600073509360588,0.33893065411367945,0.03667533197498771,0.18372795615822385,0.17494554907609078,0.15084662404271762,0.06140659031827443,0.21703084381367246
2021,0.27529625206687486,0.046389858533896745,0.12286422928532059,0.15107707146794047,0.13946812419621532,0.08628054381774757,0.1786239206320044,0.44460893165556375,0.021136606628834608,0.21728760588864215,0.01998519615099926,0.1588124023357184,0.08989226087671684,0.2665515256188831
2022,0.26707193086503433,0.03744810641362366,0.11955646869439973,0.16603829534864017,0.13221214945352877,0.08597390493942218,0.19169914428535118,0.40606290261462674,0.018264494126563093,0.1900719969685487,0.10026525198938992,0.11428571428571428,0.09541492989768852,0.26479727169382344
2023,0.266521860685176,0.03569969246650466,0.11807780812490591,0.16428310286242714,0.1254435579259769,0.08717391771866062,0.20280006021634875,0.340564738292011,0.011088154269972452,0.17913223140495868,0.15778236914600552,0.12734159779614326,0.08477961432506886,0.2659779614325069
2024,0.26926024038356283,0.03480964161394137,0.11381001379249951,0.16569608336799702,0.11724719224117171,0.0924863716969153,0.20669045690391225,0.30745575070047154,0.017699719811385226,0.16353447686735462,0.18936650037586278,0.13667737306088976,0.08132303697122942,0.27656666438871047
