Year,EBIT,EBIT_growth,EBIT_growth_7y
1980,2052,,
1981,2628,0.2807017543859649,
1982,2468,-0.060882800608828,
1983,2883,0.16815235008103735,
1984,3156,0.09469302809573366,
1985,4315,0.36723700887198985,
1986,3671,-0.14924681344148316,
1987,3651,-0.005448106782892981,0.09931520294307451
1988,4288,0.17447274719255002,0.08413963048687238
1989,5097,0.18866604477611948,0.11978946554186488
1990,4656,-0.08652148322542674,0.08340748935522715
1991,5086,0.09235395189003426,0.08307333561155582
1992,5637,0.10833661030279207,0.046087564387384705
1993,6140,0.08923186091892843,0.08015594643887207
1994,6004,-0.022149837133550454,0.07776998496020672
1995,5675,-0.05479680213191207,0.04501719219956928
1996,6119,0.07823788546255517,0.029241740869060093
1997,7240,0.183199869259683,0.0677733626526472
1998,7324,0.011602209944751474,0.056237399517606805
1999,8316,0.1354451119606772,0.0601100426115904
2000,9498,0.14213564213564212,0.0676677256425495
2001,9076,-0.044430406401347655,0.06448478717572133
2002,10384,0.14411635081533714,0.0929009518824712
2003,10737,0.03399460708782742,0.08658048354322438
2004,10611,-0.011735121542330251,0.05873262771436535
2005,11266,0.06172839506172845,0.06589351130250491
2006,13053,0.1586188531865791,0.06920404576334804
2007,12588,-0.035623994484026644,0.04380981196053822
2008,13103,0.04091197966317117,0.05600158139832662
2009,13083,-0.0015263680073265284,0.03519547870937467
2010,12698,-0.029427501337613737,0.02613517750574022
2011,12538,-0.012600409513309208,0.026011564938457514
2012,13589,0.08382517147870483,0.029168247283739852
2013,14047,0.0337037309588637,0.011323229822637655
2014,14019,-0.0019933081796824625,0.016127613580401108
2015,13382,-0.04543833368999217,0.003791854529949203
2016,13503,0.009041996712001232,0.005301620918424598
2017,13423,-0.005924609346071197,0.008659176917216389
2018,13872,0.03345004842434629,0.015237813765452888
2019,13674,-0.014273356401384052,0.0012237383540116195
2020,14233,0.04088050314465419,0.0022489915234102614
2021,12159,-0.14571769830675196,-0.018283064209028237
2022,13195,0.08520437535981573,0.00038017994094431885
2023,14250,0.0799545282303904,0.010510541586428486
2024,14633,0.026877192982456055,0.015196513347646665
