FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,Notes,2024.0,2023.0
,,Sales,3,91354.0,92998.0
,,,,,
,,Other revenue,,366.0,353.0
,,Cost of goods sold,,-48670.0,-50328.0
,,Distribution expenses,,-7567.0,-7765.0
,,Marketing and administration expenses,,-18112.0,-17549.0
,,Research and development costs ,,-1667.0,-1656.0
,,Other trading income, 4 ,124.0,132.0
,,Other trading expenses, 4 ,-1195.0,-1665.0
,,Trading operating profit, 3 ,14633.0,14520.0
,,,,,
,,Other operating income,4,474.0,298.0
,,Other operating expenses,4,-383.0,-755.0
,,Operating profit,,14724.0,14063.0
,,,,,
,,Financial income,5,358.0,284.0
,,Financial expense,5,-1843.0,-1644.0
,,"Profit before taxes, associates and joint ventures",,13239.0,12703.0
,,,,,
,,Taxes,13,-3314.0,-2314.0
,,Income from associates and joint ventures,14,1249.0,1120.0
,,Profit for the year,,11174.0,11509.0
