FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Distribution yield,,,,,,,,,,,,,,,,,,,,
,,2018,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,,,,,,,,,,,,Expected return,
,Dividends,-7124,-7230.0,-7700.0,-7681.0,-7618.0,-7829.0,-7816.0,,,,,,,,,,,,,
,Dividends to non-controlling interest,-319,-463.0,-268.0,-302.0,-284.0,-323.0,-174.0,,,,,,,,,,,,dividend,
,Share repurchase,-6854,-9773.0,-6814.0,-6548.0,-10679.0,-5234.0,-4678.0,,,,,,,,,,,,rate of growth of ernings,0.0
,Bond issuance,9900,57.0,10330.0,11339.0,10936.0,9806.0,7992.0,,,,,,,,,,,,ER,
,Bond repayment,-2712,-3287.0,-3182.0,-4474.0,-3283.0,-3589.0,-5055.0,,,,,,,,,,,,,
,Inflows (outflows) from current financial debt,3520,-444.0,-2747.0,-885.0,148.0,-2537.0,2396.0,,,,,,,,,,,,,
,Interest paid (net),-1008,-1216.0,-983.0,-953.0,-1250.0,-1644.0,-1539.0,,,,,,,,,,,,,
,Outflows,-4350,-22356.0,-11364.0,-9504.0,-12030.0,-11350.0,-8874.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Market Cap,315500,303433.0,317978.0,226182.0,259400.0,240600.0,261650.0,,,,,,,,,,,,,
,Debt,40394,37164.0,27928.0,36482.0,43420.0,45825.0,51697.0,,,,,,,,,,,,,
,Cash,4500,7469.0,8609.0,6988.0,5511.0,4816.0,5556.0,,,,,,,,,,,,,
,Enterprise  Value,351394,333128.0,337297.0,255676.0,297309.0,281609.0,307791.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Distribution yield (%),1.24,6.710933935304148,3.369137584977038,3.717204587055492,4.046295268558974,4.030410959876993,2.883125237580046,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Tax rate,See the corresponding sheet,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,ROIC,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,INVESTED CAPITAL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
