FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,SEGMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Revenues,,,,,,,,,,Trading Operating Profit (Op. Income),,,,,,,,,,,Margins,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Powered & Liquid Beverages,Water,Milk Products,Nutrition & Healthcare,Prepared Dishes & Cooking Aids,Confectionary,Petcare,Total,,,Powered & Liquid Beverages,Water,Milk Products,Nutrition & Healthcare,Prepared Dishes & Cooking Aids,Confectionary,Petcare,Unallocated items,Total Operating profit,,,Powered & Liquid Beverages,Water,Milk Products,Nutrition & Healthcare,Prepared Dishes & Cooking Aids,Confectionary,Petcare,Op. Margin Cons.,Smoothed
,,,2007,17836,10409,20668,8438,18504,12248,12130,100233,,2007,4002,852,2294,1450,2414,1426,1876,-1726,12588,,2007,,,,,,,,,
,,,2008,18879,9595,20556,10380,18117,12370,12467,102364,,2008,4176,575,2357,1798,2302,1619,1962,-1686,13103,,2008,,,,,,,,,
,,,2009,19271,9066,19557,9965,17205,11796,12938,99798,,2009,4185,633,2345,1734,2226,1599,2108,-1747,13083,,2009,,,,,,,,,
,,,2010,18114,7215,17202,10098,14899,9735,10643,87906,,2010,4150,513,2409,1906,1884,1443,2176,-1783,12698,,2010,,,,,,,,,
,,,2011,18204,6526,16406,9744,13933,9065,9764,83642,,2011,4129,520,2251,1820,2016,1524,2008,-1730,12538,,2011,,,,,,,,,
,,,2012,20248,6747,17344,9737,14394,10441,10810,89721,,2012,4445,636,2704,1778,2029,1765,2144,-1912,13589,,2012,,,,,,,,,
,,,2013,20495,6773,17357,11840,14171,10283,11239,92158,,2013,4649,678,2632,2228,1876,1630,2163,-1809,14047,,2013,,,,,,,,,
,,,2014,20302,6875,16743,13046,13538,9769,11339,91612,,2014,4685,710,2701,2723,1808,1344,2246,-2198,14019,,2014,,,,,,,,,
,,,2015,19245,7112,14637,14854,12579,8870,11488,88785,,2015,4100,796,2471,2909,1724,1246,2386,-2250,13382,,2015,,,,,,,,,
,,,2016,19792,7414,14331,15038,12148,8679,12067,89469,,2016,4129,906,2649,2775,1838,1192,2535,-2521,13503,,2016,,,,,,,,,
,,,2017,20408,7455,13447,15257,11957,8805,12462,89791,,2017,4302,905,2326,2425,1933,1237,2626,-2331,13423,,2017,,,,,,,,,
,,,2018,21620,7409,13217,16188,12065,8123,12817,91439,,2018,4553,603,2412,2826,2044,1291,2572,-2429,13872,,2018,,,,,,,,,
,,,2019,23221,7391,13268,14990,12188,7888,13622,92568,,2019,4701,667,1678,3092,1857,1241,2741,-2303,13674,,2019,,,,,,,,,
,,,2020,22256,6421,11007,12160,11523,6975,14001,84343,,2020,4824,522,2615,2490,2147,874,3089,-2328,14233,,2020,,,,,,,,,
,,,2021,23975,4040,10700,13157,12146,7514,15556,87088,,2021,5406,257,2642,243,1931,1093,3241,-2654,12159,,2021,,,,,,,,,
,,,2022,25218,3536,11289,15678,12484,8118,18101,94424,,2022,5358,241,2508,1323,1508,1259,3494,-2496,13195,,2022,,,,,,,,,
,,,2023,24786,3320,10981,15278,11666,8107,18860,92998,,2023,4945,161,2601,2291,1849,1231,3862,-2420,14520,,2023,,,,,,,,,
,,,2024,24598,3180,10397,15137,10711,8449,18882,91354,,2024,4499,259,2393,2771,2000,1190,4047,-2526,14633,,2024,,,,,,,,,
